2022-06-10-17_32_57  Epoch: 0, Training Step: 0, Loss: 17.375476837158203, Learning Rate: 5e-05
2022-06-10-17_47_08  Epoch: 0, Training Step: 1700, Loss: 2.001312494277954, Learning Rate: 5e-05
2022-06-10-17_47_35  Epoch: 0, Training Step: 1800, Loss: 1.9231762886047363, Learning Rate: 5e-05
2022-06-10-17_48_02  Epoch: 0, Training Step: 1900, Loss: 2.1615655422210693, Learning Rate: 5e-05
2022-06-10-17_48_30  Epoch: 0, Training Step: 2000, Loss: 1.9640910625457764, Learning Rate: 5e-05
2022-06-10-17_48_56  Epoch: 0, Training Step: 2100, Loss: 2.0786972045898438, Learning Rate: 5e-05
2022-06-10-17_49_24  Epoch: 0, Training Step: 2200, Loss: 2.267159938812256, Learning Rate: 5e-05
2022-06-10-17_49_51  Epoch: 0, Training Step: 2300, Loss: 1.8620786666870117, Learning Rate: 5e-05
2022-06-10-17_50_18  Epoch: 0, Training Step: 2400, Loss: 1.9619579315185547, Learning Rate: 5e-05
2022-06-10-17_50_46  Epoch: 0, Training Step: 2500, Loss: 1.5789618492126465, Learning Rate: 5e-05
2022-06-10-17_51_13  Epoch: 0, Training Step: 2600, Loss: 1.635886549949646, Learning Rate: 5e-05
2022-06-10-17_51_40  Epoch: 0, Training Step: 2700, Loss: 2.0694165229797363, Learning Rate: 5e-05
2022-06-10-17_52_07  Epoch: 0, Training Step: 2800, Loss: 1.5057637691497803, Learning Rate: 5e-05
2022-06-10-17_52_34  Epoch: 0, Training Step: 2900, Loss: 1.6686789989471436, Learning Rate: 5e-05
2022-06-10-17_53_01  Epoch: 0, Training Step: 3000, Loss: 1.728550672531128, Learning Rate: 5e-05
2022-06-10-17_53_28  Epoch: 0, Training Step: 3100, Loss: 1.592294692993164, Learning Rate: 5e-05
2022-06-10-17_53_55  Epoch: 0, Training Step: 3200, Loss: 1.4820566177368164, Learning Rate: 5e-05
2022-06-11-11_42_00  Epoch: 0, Training Step: 0, Loss: 17.49605941772461, Learning Rate: 5e-05
2022-06-11-11_42_27  Epoch: 0, Training Step: 100, Loss: 8.899879455566406, Learning Rate: 5e-05
2022-06-11-11_42_55  Epoch: 0, Training Step: 200, Loss: 5.376532554626465, Learning Rate: 5e-05
2022-06-11-11_43_22  Epoch: 0, Training Step: 300, Loss: 3.359516143798828, Learning Rate: 5e-05
2022-06-11-11_43_50  Epoch: 0, Training Step: 400, Loss: 2.517655849456787, Learning Rate: 5e-05
2022-06-11-11_44_17  Epoch: 0, Training Step: 500, Loss: 2.2725577354431152, Learning Rate: 5e-05
2022-06-11-11_44_44  Epoch: 0, Training Step: 600, Loss: 2.2789177894592285, Learning Rate: 5e-05
2022-06-11-11_45_11  Epoch: 0, Training Step: 700, Loss: 2.7416131496429443, Learning Rate: 5e-05
2022-06-11-11_45_38  Epoch: 0, Training Step: 800, Loss: 2.2239246368408203, Learning Rate: 5e-05
2022-06-11-11_46_06  Epoch: 0, Training Step: 900, Loss: 2.350379228591919, Learning Rate: 5e-05
2022-06-11-11_46_33  Epoch: 0, Training Step: 1000, Loss: 2.0456981658935547, Learning Rate: 5e-05
2022-06-11-11_47_00  Epoch: 0, Training Step: 1100, Loss: 2.147315502166748, Learning Rate: 5e-05
2022-06-11-11_47_28  Epoch: 0, Training Step: 1200, Loss: 2.2443723678588867, Learning Rate: 5e-05
2022-06-11-11_47_56  Epoch: 0, Training Step: 1300, Loss: 2.4370617866516113, Learning Rate: 5e-05
2022-06-11-11_48_23  Epoch: 0, Training Step: 1400, Loss: 1.8475733995437622, Learning Rate: 5e-05
2022-06-11-11_48_51  Epoch: 0, Training Step: 1500, Loss: 1.845304012298584, Learning Rate: 5e-05
2022-06-11-11_49_18  Epoch: 0, Training Step: 1600, Loss: 1.713587760925293, Learning Rate: 5e-05
2022-06-11-11_49_46  Epoch: 0, Training Step: 1700, Loss: 2.001312494277954, Learning Rate: 5e-05
2022-06-11-11_50_13  Epoch: 0, Training Step: 1800, Loss: 1.9231762886047363, Learning Rate: 5e-05
2022-06-11-11_50_41  Epoch: 0, Training Step: 1900, Loss: 2.1615655422210693, Learning Rate: 5e-05
2022-06-11-11_51_08  Epoch: 0, Training Step: 2000, Loss: 1.9640910625457764, Learning Rate: 5e-05
2022-06-11-11_51_34  Epoch: 0, Training Step: 2100, Loss: 2.0786972045898438, Learning Rate: 5e-05
2022-06-11-11_52_02  Epoch: 0, Training Step: 2200, Loss: 2.267159938812256, Learning Rate: 5e-05
2022-06-11-11_52_30  Epoch: 0, Training Step: 2300, Loss: 1.8620786666870117, Learning Rate: 5e-05
2022-06-11-11_52_57  Epoch: 0, Training Step: 2400, Loss: 1.9619579315185547, Learning Rate: 5e-05
2022-06-11-11_53_25  Epoch: 0, Training Step: 2500, Loss: 1.5789618492126465, Learning Rate: 5e-05
2022-06-11-11_53_52  Epoch: 0, Training Step: 2600, Loss: 1.635886549949646, Learning Rate: 5e-05
2022-06-11-11_54_20  Epoch: 0, Training Step: 2700, Loss: 2.0694165229797363, Learning Rate: 5e-05
2022-06-11-11_54_48  Epoch: 0, Training Step: 2800, Loss: 1.5057637691497803, Learning Rate: 5e-05
2022-06-11-11_55_15  Epoch: 0, Training Step: 2900, Loss: 1.6686789989471436, Learning Rate: 5e-05
2022-06-11-11_55_42  Epoch: 0, Training Step: 3000, Loss: 1.728550672531128, Learning Rate: 5e-05
2022-06-11-11_56_09  Epoch: 0, Training Step: 3100, Loss: 1.592294692993164, Learning Rate: 5e-05
2022-06-11-11_56_37  Epoch: 0, Training Step: 3200, Loss: 1.4820566177368164, Learning Rate: 5e-05
2022-06-11-11_59_47  Epoch: 1, Training Step: 0, Loss: 1.563405990600586, Learning Rate: 0.0001
2022-06-11-12_00_17  Epoch: 1, Training Step: 100, Loss: 2.138972282409668, Learning Rate: 0.0001
2022-06-11-12_00_45  Epoch: 1, Training Step: 200, Loss: 1.5118497610092163, Learning Rate: 0.0001
2022-06-11-12_01_12  Epoch: 1, Training Step: 300, Loss: 1.660187840461731, Learning Rate: 0.0001
2022-06-11-12_01_41  Epoch: 1, Training Step: 400, Loss: 1.5825915336608887, Learning Rate: 0.0001
2022-06-11-12_02_08  Epoch: 1, Training Step: 500, Loss: 2.129084587097168, Learning Rate: 0.0001
2022-06-11-12_02_35  Epoch: 1, Training Step: 600, Loss: 1.8198530673980713, Learning Rate: 0.0001
2022-06-11-12_03_02  Epoch: 1, Training Step: 700, Loss: 1.5904145240783691, Learning Rate: 0.0001
2022-06-11-12_03_30  Epoch: 1, Training Step: 800, Loss: 1.4638415575027466, Learning Rate: 0.0001
2022-06-11-12_03_57  Epoch: 1, Training Step: 900, Loss: 1.445012092590332, Learning Rate: 0.0001
2022-06-11-12_04_24  Epoch: 1, Training Step: 1000, Loss: 1.6029548645019531, Learning Rate: 0.0001
2022-06-11-12_04_51  Epoch: 1, Training Step: 1100, Loss: 1.6601231098175049, Learning Rate: 0.0001
2022-06-11-12_05_18  Epoch: 1, Training Step: 1200, Loss: 2.2573230266571045, Learning Rate: 0.0001
2022-06-11-12_05_46  Epoch: 1, Training Step: 1300, Loss: 1.7622294425964355, Learning Rate: 0.0001
2022-06-11-12_06_14  Epoch: 1, Training Step: 1400, Loss: 1.571897268295288, Learning Rate: 0.0001
2022-06-11-12_06_42  Epoch: 1, Training Step: 1500, Loss: 1.4407463073730469, Learning Rate: 0.0001
2022-06-11-12_07_10  Epoch: 1, Training Step: 1600, Loss: 1.9216281175613403, Learning Rate: 0.0001
2022-06-11-12_07_37  Epoch: 1, Training Step: 1700, Loss: 1.7592658996582031, Learning Rate: 0.0001
2022-06-11-12_08_05  Epoch: 1, Training Step: 1800, Loss: 1.4358102083206177, Learning Rate: 0.0001
2022-06-11-12_08_32  Epoch: 1, Training Step: 1900, Loss: 1.4762636423110962, Learning Rate: 0.0001
2022-06-11-12_08_59  Epoch: 1, Training Step: 2000, Loss: 1.7416456937789917, Learning Rate: 0.0001
2022-06-11-12_09_26  Epoch: 1, Training Step: 2100, Loss: 1.6327917575836182, Learning Rate: 0.0001
2022-06-11-12_09_54  Epoch: 1, Training Step: 2200, Loss: 1.4788007736206055, Learning Rate: 0.0001
2022-06-11-12_10_22  Epoch: 1, Training Step: 2300, Loss: 2.0142948627471924, Learning Rate: 0.0001
2022-06-11-12_10_49  Epoch: 1, Training Step: 2400, Loss: 1.505729079246521, Learning Rate: 0.0001
2022-06-11-12_11_16  Epoch: 1, Training Step: 2500, Loss: 1.4451625347137451, Learning Rate: 0.0001
2022-06-11-12_11_44  Epoch: 1, Training Step: 2600, Loss: 1.301711082458496, Learning Rate: 0.0001
2022-06-11-12_12_12  Epoch: 1, Training Step: 2700, Loss: 1.338800311088562, Learning Rate: 0.0001
2022-06-11-12_12_39  Epoch: 1, Training Step: 2800, Loss: 1.7383654117584229, Learning Rate: 0.0001
2022-06-11-12_13_06  Epoch: 1, Training Step: 2900, Loss: 1.356081247329712, Learning Rate: 0.0001
2022-06-11-12_13_33  Epoch: 1, Training Step: 3000, Loss: 1.3769468069076538, Learning Rate: 0.0001
2022-06-11-12_14_00  Epoch: 1, Training Step: 3100, Loss: 1.399871826171875, Learning Rate: 0.0001
2022-06-11-12_14_27  Epoch: 1, Training Step: 3200, Loss: 1.3820405006408691, Learning Rate: 0.0001
2022-06-11-12_17_32  Epoch: 2, Training Step: 0, Loss: 1.369309663772583, Learning Rate: 0.00015
2022-06-11-12_17_59  Epoch: 2, Training Step: 100, Loss: 1.4025557041168213, Learning Rate: 0.00015
2022-06-11-12_18_26  Epoch: 2, Training Step: 200, Loss: 1.6210895776748657, Learning Rate: 0.00015
2022-06-11-12_18_54  Epoch: 2, Training Step: 300, Loss: 1.4994145631790161, Learning Rate: 0.00015
2022-06-11-12_19_21  Epoch: 2, Training Step: 400, Loss: 1.251399040222168, Learning Rate: 0.00015
2022-06-11-12_19_49  Epoch: 2, Training Step: 500, Loss: 1.500283122062683, Learning Rate: 0.00015
2022-06-11-12_20_17  Epoch: 2, Training Step: 600, Loss: 1.3312723636627197, Learning Rate: 0.00015
2022-06-11-12_20_44  Epoch: 2, Training Step: 700, Loss: 1.9982914924621582, Learning Rate: 0.00015
2022-06-11-12_21_11  Epoch: 2, Training Step: 800, Loss: 1.6953750848770142, Learning Rate: 0.00015
2022-06-11-12_21_38  Epoch: 2, Training Step: 900, Loss: 1.2499778270721436, Learning Rate: 0.00015
2022-06-11-12_22_06  Epoch: 2, Training Step: 1000, Loss: 1.484778642654419, Learning Rate: 0.00015
2022-06-11-12_22_33  Epoch: 2, Training Step: 1100, Loss: 1.4515132904052734, Learning Rate: 0.00015
2022-06-11-12_23_00  Epoch: 2, Training Step: 1200, Loss: 1.5408399105072021, Learning Rate: 0.00015
2022-06-11-12_23_27  Epoch: 2, Training Step: 1300, Loss: 1.5548210144042969, Learning Rate: 0.00015
2022-06-11-12_23_55  Epoch: 2, Training Step: 1400, Loss: 1.5566282272338867, Learning Rate: 0.00015
2022-06-11-12_24_22  Epoch: 2, Training Step: 1500, Loss: 1.6242951154708862, Learning Rate: 0.00015
2022-06-11-12_24_50  Epoch: 2, Training Step: 1600, Loss: 1.3654769659042358, Learning Rate: 0.00015
2022-06-11-12_25_17  Epoch: 2, Training Step: 1700, Loss: 1.3643156290054321, Learning Rate: 0.00015
2022-06-11-12_25_45  Epoch: 2, Training Step: 1800, Loss: 1.5401997566223145, Learning Rate: 0.00015
2022-06-11-12_26_12  Epoch: 2, Training Step: 1900, Loss: 1.1806933879852295, Learning Rate: 0.00015
2022-06-11-12_26_40  Epoch: 2, Training Step: 2000, Loss: 1.2355445623397827, Learning Rate: 0.00015
2022-06-11-12_27_08  Epoch: 2, Training Step: 2100, Loss: 1.3188427686691284, Learning Rate: 0.00015
2022-06-11-12_27_36  Epoch: 2, Training Step: 2200, Loss: 1.5470094680786133, Learning Rate: 0.00015
2022-06-11-12_28_03  Epoch: 2, Training Step: 2300, Loss: 1.5056257247924805, Learning Rate: 0.00015
2022-06-11-12_28_30  Epoch: 2, Training Step: 2400, Loss: 1.4038136005401611, Learning Rate: 0.00015
2022-06-11-12_28_58  Epoch: 2, Training Step: 2500, Loss: 1.4067106246948242, Learning Rate: 0.00015
2022-06-11-12_29_25  Epoch: 2, Training Step: 2600, Loss: 1.2295746803283691, Learning Rate: 0.00015
2022-06-11-12_29_53  Epoch: 2, Training Step: 2700, Loss: 1.2182962894439697, Learning Rate: 0.00015
2022-06-11-12_30_20  Epoch: 2, Training Step: 2800, Loss: 1.11684250831604, Learning Rate: 0.00015
2022-06-11-12_30_48  Epoch: 2, Training Step: 2900, Loss: 1.1326743364334106, Learning Rate: 0.00015
2022-06-11-12_31_16  Epoch: 2, Training Step: 3000, Loss: 1.4750583171844482, Learning Rate: 0.00015
2022-06-11-12_31_44  Epoch: 2, Training Step: 3100, Loss: 1.7023701667785645, Learning Rate: 0.00015
2022-06-11-12_32_11  Epoch: 2, Training Step: 3200, Loss: 1.3836721181869507, Learning Rate: 0.00015
2022-06-11-12_35_18  Epoch: 3, Training Step: 0, Loss: 1.2931995391845703, Learning Rate: 0.0002
2022-06-11-12_35_46  Epoch: 3, Training Step: 100, Loss: 1.3748300075531006, Learning Rate: 0.0002
2022-06-11-12_36_14  Epoch: 3, Training Step: 200, Loss: 1.512730360031128, Learning Rate: 0.0002
2022-06-11-12_36_41  Epoch: 3, Training Step: 300, Loss: 1.3289780616760254, Learning Rate: 0.0002
2022-06-11-12_37_09  Epoch: 3, Training Step: 400, Loss: 1.2702617645263672, Learning Rate: 0.0002
2022-06-11-12_37_37  Epoch: 3, Training Step: 500, Loss: 1.43678617477417, Learning Rate: 0.0002
2022-06-11-12_38_04  Epoch: 3, Training Step: 600, Loss: 1.3074826002120972, Learning Rate: 0.0002
2022-06-11-12_38_32  Epoch: 3, Training Step: 700, Loss: 1.5475263595581055, Learning Rate: 0.0002
2022-06-11-12_38_59  Epoch: 3, Training Step: 800, Loss: 1.5182324647903442, Learning Rate: 0.0002
2022-06-11-12_39_27  Epoch: 3, Training Step: 900, Loss: 1.5379102230072021, Learning Rate: 0.0002
2022-06-11-12_39_54  Epoch: 3, Training Step: 1000, Loss: 1.5346758365631104, Learning Rate: 0.0002
2022-06-11-12_40_22  Epoch: 3, Training Step: 1100, Loss: 1.3415204286575317, Learning Rate: 0.0002
2022-06-11-12_40_49  Epoch: 3, Training Step: 1200, Loss: 1.2881686687469482, Learning Rate: 0.0002
2022-06-11-12_41_16  Epoch: 3, Training Step: 1300, Loss: 1.1888377666473389, Learning Rate: 0.0002
2022-06-11-12_41_43  Epoch: 3, Training Step: 1400, Loss: 1.1320421695709229, Learning Rate: 0.0002
2022-06-11-12_42_11  Epoch: 3, Training Step: 1500, Loss: 1.2711187601089478, Learning Rate: 0.0002
2022-06-11-12_42_39  Epoch: 3, Training Step: 1600, Loss: 1.0699111223220825, Learning Rate: 0.0002
2022-06-11-12_43_08  Epoch: 3, Training Step: 1700, Loss: 1.3245879411697388, Learning Rate: 0.0002
2022-06-11-12_43_36  Epoch: 3, Training Step: 1800, Loss: 1.070056676864624, Learning Rate: 0.0002
2022-06-11-12_44_04  Epoch: 3, Training Step: 1900, Loss: 1.485565423965454, Learning Rate: 0.0002
2022-06-11-12_44_32  Epoch: 3, Training Step: 2000, Loss: 1.350935697555542, Learning Rate: 0.0002
2022-06-11-12_45_00  Epoch: 3, Training Step: 2100, Loss: 1.1604838371276855, Learning Rate: 0.0002
2022-06-11-12_45_27  Epoch: 3, Training Step: 2200, Loss: 1.339226484298706, Learning Rate: 0.0002
2022-06-11-12_45_55  Epoch: 3, Training Step: 2300, Loss: 1.1859300136566162, Learning Rate: 0.0002
2022-06-11-12_46_22  Epoch: 3, Training Step: 2400, Loss: 1.1641674041748047, Learning Rate: 0.0002
2022-06-11-12_46_50  Epoch: 3, Training Step: 2500, Loss: 1.1983636617660522, Learning Rate: 0.0002
2022-06-11-12_47_17  Epoch: 3, Training Step: 2600, Loss: 1.1984580755233765, Learning Rate: 0.0002
2022-06-11-12_47_45  Epoch: 3, Training Step: 2700, Loss: 1.7770887613296509, Learning Rate: 0.0002
2022-06-11-12_48_12  Epoch: 3, Training Step: 2800, Loss: 1.333418607711792, Learning Rate: 0.0002
2022-06-11-12_48_40  Epoch: 3, Training Step: 2900, Loss: 1.4444074630737305, Learning Rate: 0.0002
2022-06-11-12_49_07  Epoch: 3, Training Step: 3000, Loss: 1.0152561664581299, Learning Rate: 0.0002
2022-06-11-12_49_34  Epoch: 3, Training Step: 3100, Loss: 1.1741453409194946, Learning Rate: 0.0002
2022-06-11-12_50_02  Epoch: 3, Training Step: 3200, Loss: 1.2872257232666016, Learning Rate: 0.0002
2022-06-11-12_53_06  Epoch: 4, Training Step: 0, Loss: 1.2486701011657715, Learning Rate: 0.00025
2022-06-11-12_53_34  Epoch: 4, Training Step: 100, Loss: 1.233814001083374, Learning Rate: 0.00025
2022-06-11-12_54_02  Epoch: 4, Training Step: 200, Loss: 1.4724290370941162, Learning Rate: 0.00025
2022-06-11-12_54_29  Epoch: 4, Training Step: 300, Loss: 1.1308504343032837, Learning Rate: 0.00025
2022-06-11-12_54_57  Epoch: 4, Training Step: 400, Loss: 1.1953063011169434, Learning Rate: 0.00025
2022-06-11-12_55_24  Epoch: 4, Training Step: 500, Loss: 1.2143512964248657, Learning Rate: 0.00025
2022-06-11-12_55_52  Epoch: 4, Training Step: 600, Loss: 1.132663607597351, Learning Rate: 0.00025
2022-06-11-12_56_19  Epoch: 4, Training Step: 700, Loss: 1.0440679788589478, Learning Rate: 0.00025
2022-06-11-12_56_47  Epoch: 4, Training Step: 800, Loss: 1.140317440032959, Learning Rate: 0.00025
2022-06-11-12_57_14  Epoch: 4, Training Step: 900, Loss: 1.3181407451629639, Learning Rate: 0.00025
2022-06-11-12_57_41  Epoch: 4, Training Step: 1000, Loss: 1.0133658647537231, Learning Rate: 0.00025
2022-06-11-12_58_09  Epoch: 4, Training Step: 1100, Loss: 1.112811803817749, Learning Rate: 0.00025
2022-06-11-12_58_36  Epoch: 4, Training Step: 1200, Loss: 1.1662142276763916, Learning Rate: 0.00025
2022-06-11-12_59_04  Epoch: 4, Training Step: 1300, Loss: 1.058680772781372, Learning Rate: 0.00025
2022-06-11-12_59_31  Epoch: 4, Training Step: 1400, Loss: 1.6132274866104126, Learning Rate: 0.00025
2022-06-11-12_59_59  Epoch: 4, Training Step: 1500, Loss: 1.2477986812591553, Learning Rate: 0.00025
2022-06-11-13_00_26  Epoch: 4, Training Step: 1600, Loss: 1.254329800605774, Learning Rate: 0.00025
2022-06-11-13_00_53  Epoch: 4, Training Step: 1700, Loss: 1.3380126953125, Learning Rate: 0.00025
2022-06-11-13_01_21  Epoch: 4, Training Step: 1800, Loss: 1.3011564016342163, Learning Rate: 0.00025
2022-06-11-13_01_49  Epoch: 4, Training Step: 1900, Loss: 1.3862926959991455, Learning Rate: 0.00025
2022-06-11-13_02_16  Epoch: 4, Training Step: 2000, Loss: 1.1241185665130615, Learning Rate: 0.00025
2022-06-11-13_02_44  Epoch: 4, Training Step: 2100, Loss: 1.2854669094085693, Learning Rate: 0.00025
2022-06-11-13_03_12  Epoch: 4, Training Step: 2200, Loss: 1.01438307762146, Learning Rate: 0.00025
2022-06-11-13_03_40  Epoch: 4, Training Step: 2300, Loss: 1.1859476566314697, Learning Rate: 0.00025
2022-06-11-13_04_08  Epoch: 4, Training Step: 2400, Loss: 1.2599585056304932, Learning Rate: 0.00025
2022-06-11-13_04_36  Epoch: 4, Training Step: 2500, Loss: 1.0368614196777344, Learning Rate: 0.00025
2022-06-11-13_05_03  Epoch: 4, Training Step: 2600, Loss: 1.2865976095199585, Learning Rate: 0.00025
2022-06-11-13_05_31  Epoch: 4, Training Step: 2700, Loss: 1.1913588047027588, Learning Rate: 0.00025
2022-06-11-13_05_59  Epoch: 4, Training Step: 2800, Loss: 1.5468909740447998, Learning Rate: 0.00025
2022-06-11-13_06_26  Epoch: 4, Training Step: 2900, Loss: 1.1341500282287598, Learning Rate: 0.00025
2022-06-11-13_06_54  Epoch: 4, Training Step: 3000, Loss: 1.0187833309173584, Learning Rate: 0.00025
2022-06-11-13_07_21  Epoch: 4, Training Step: 3100, Loss: 1.0177489519119263, Learning Rate: 0.00025
2022-06-11-13_07_49  Epoch: 4, Training Step: 3200, Loss: 1.3136570453643799, Learning Rate: 0.00025
2022-06-11-13_10_58  Epoch: 5, Training Step: 0, Loss: 1.2260642051696777, Learning Rate: 0.0003
2022-06-11-13_11_25  Epoch: 5, Training Step: 100, Loss: 1.764318585395813, Learning Rate: 0.0003
2022-06-11-13_11_53  Epoch: 5, Training Step: 200, Loss: 1.230154275894165, Learning Rate: 0.0003
2022-06-11-13_12_21  Epoch: 5, Training Step: 300, Loss: 1.243345856666565, Learning Rate: 0.0003
2022-06-11-13_12_49  Epoch: 5, Training Step: 400, Loss: 1.098784327507019, Learning Rate: 0.0003
2022-06-11-13_13_16  Epoch: 5, Training Step: 500, Loss: 1.0747947692871094, Learning Rate: 0.0003
2022-06-11-13_13_43  Epoch: 5, Training Step: 600, Loss: 0.9679040908813477, Learning Rate: 0.0003
2022-06-11-13_14_10  Epoch: 5, Training Step: 700, Loss: 1.4122613668441772, Learning Rate: 0.0003
2022-06-11-13_14_38  Epoch: 5, Training Step: 800, Loss: 1.4818135499954224, Learning Rate: 0.0003
2022-06-11-13_15_05  Epoch: 5, Training Step: 900, Loss: 1.0976574420928955, Learning Rate: 0.0003
2022-06-11-13_15_33  Epoch: 5, Training Step: 1000, Loss: 1.1062144041061401, Learning Rate: 0.0003
2022-06-11-13_16_01  Epoch: 5, Training Step: 1100, Loss: 1.0697957277297974, Learning Rate: 0.0003
2022-06-11-13_16_29  Epoch: 5, Training Step: 1200, Loss: 1.3933970928192139, Learning Rate: 0.0003
2022-06-11-13_16_57  Epoch: 5, Training Step: 1300, Loss: 1.2538539171218872, Learning Rate: 0.0003
2022-06-11-13_17_25  Epoch: 5, Training Step: 1400, Loss: 1.4188052415847778, Learning Rate: 0.0003
2022-06-11-13_17_53  Epoch: 5, Training Step: 1500, Loss: 1.0769087076187134, Learning Rate: 0.0003
2022-06-11-13_18_20  Epoch: 5, Training Step: 1600, Loss: 1.1437594890594482, Learning Rate: 0.0003
2022-06-11-13_18_48  Epoch: 5, Training Step: 1700, Loss: 1.2437891960144043, Learning Rate: 0.0003
2022-06-11-13_19_16  Epoch: 5, Training Step: 1800, Loss: 1.155635118484497, Learning Rate: 0.0003
2022-06-11-13_19_44  Epoch: 5, Training Step: 1900, Loss: 1.0020657777786255, Learning Rate: 0.0003
2022-06-11-13_20_12  Epoch: 5, Training Step: 2000, Loss: 1.5709660053253174, Learning Rate: 0.0003
2022-06-11-13_20_40  Epoch: 5, Training Step: 2100, Loss: 1.0665712356567383, Learning Rate: 0.0003
2022-06-11-13_21_08  Epoch: 5, Training Step: 2200, Loss: 1.200963020324707, Learning Rate: 0.0003
2022-06-11-13_21_36  Epoch: 5, Training Step: 2300, Loss: 1.2151967287063599, Learning Rate: 0.0003
2022-06-11-13_22_04  Epoch: 5, Training Step: 2400, Loss: 1.3598206043243408, Learning Rate: 0.0003
2022-06-11-13_22_32  Epoch: 5, Training Step: 2500, Loss: 1.1381700038909912, Learning Rate: 0.0003
2022-06-11-13_22_59  Epoch: 5, Training Step: 2600, Loss: 1.1006369590759277, Learning Rate: 0.0003
2022-06-11-13_23_26  Epoch: 5, Training Step: 2700, Loss: 1.4639432430267334, Learning Rate: 0.0003
2022-06-11-13_23_53  Epoch: 5, Training Step: 2800, Loss: 1.1078903675079346, Learning Rate: 0.0003
2022-06-11-13_24_20  Epoch: 5, Training Step: 2900, Loss: 1.1551339626312256, Learning Rate: 0.0003
2022-06-11-13_24_48  Epoch: 5, Training Step: 3000, Loss: 1.4615283012390137, Learning Rate: 0.0003
2022-06-11-13_25_17  Epoch: 5, Training Step: 3100, Loss: 1.6741094589233398, Learning Rate: 0.0003
2022-06-11-13_25_44  Epoch: 5, Training Step: 3200, Loss: 1.0621137619018555, Learning Rate: 0.0003
2022-06-11-13_28_50  Epoch: 6, Training Step: 0, Loss: 1.0064990520477295, Learning Rate: 0.00035
2022-06-11-13_29_17  Epoch: 6, Training Step: 100, Loss: 1.0588434934616089, Learning Rate: 0.00035
2022-06-11-13_29_45  Epoch: 6, Training Step: 200, Loss: 1.1358036994934082, Learning Rate: 0.00035
2022-06-11-13_30_13  Epoch: 6, Training Step: 300, Loss: 1.1019551753997803, Learning Rate: 0.00035
2022-06-11-13_30_41  Epoch: 6, Training Step: 400, Loss: 1.0230567455291748, Learning Rate: 0.00035
2022-06-11-13_31_08  Epoch: 6, Training Step: 500, Loss: 1.3357229232788086, Learning Rate: 0.00035
2022-06-11-13_31_36  Epoch: 6, Training Step: 600, Loss: 0.9353790283203125, Learning Rate: 0.00035
